p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
5.40E-75	0.868302389	0.347	0.111	1.16E-70	RNF150
6.06E-97	0.862281579	0.251	0.051	1.31E-92	LINC01322
6.27E-114	0.857924531	0.327	0.072	1.35E-109	CCDC50
1.48E-107	0.852702508	0.842	0.493	3.20E-103	AGAP1
1.70E-134	0.848012824	0.675	0.234	3.66E-130	GRIK2
1.34E-73	0.847993904	0.325	0.1	2.90E-69	C1orf21
4.86E-90	0.846923782	0.564	0.203	1.05E-85	BCAS1
2.00E-144	0.844752089	0.963	0.561	4.31E-140	LSAMP
8.94E-113	0.843290798	0.524	0.165	1.93E-108	RP11.436D23.1
7.84E-82	0.842366432	0.261	0.063	1.69E-77	CSPG5
3.36E-72	0.842058445	0.409	0.15	7.25E-68	SCN3A
3.43E-100	0.835250866	0.498	0.162	7.41E-96	HS6ST3
1.11E-107	0.834232029	0.635	0.248	2.40E-103	PTPRG
6.20E-200	0.826806201	0.608	0.149	1.34E-195	SLC1A2
1.43E-106	0.823458131	0.359	0.089	3.09E-102	SERPINE2
1.35E-77	0.81930115	0.532	0.222	2.91E-73	ZDHHC14
1.87E-61	0.810384832	0.316	0.108	4.03E-57	SHC3
1.72E-78	0.799281696	0.375	0.119	3.71E-74	TOX
6.90E-107	0.798073941	0.53	0.176	1.49E-102	FCHSD2
3.56E-80	0.786565118	0.424	0.147	7.69E-76	MARCKS
1.62E-121	0.782893624	0.342	0.072	3.50E-117	GPR37L1
3.87E-82	0.776677614	0.569	0.238	8.35E-78	TAOK3
1.29E-88	0.771055147	0.53	0.196	2.77E-84	SGCD
1.31E-87	0.766983938	0.513	0.178	2.83E-83	HIP1
5.14E-203	0.755366956	0.924	0.288	1.11E-198	KCNIP4
3.08E-64	0.753172373	0.264	0.075	6.64E-60	GRIK4
1.38E-79	0.749130182	0.769	0.425	2.98E-75	SCD5
1.02E-74	0.747386797	0.418	0.144	2.20E-70	SAMD4A
3.70E-100	0.743806165	0.313	0.073	7.98E-96	RAMP1
9.96E-91	0.740878903	0.46	0.151	2.15E-86	ITPR2
4.79E-98	0.739108248	0.406	0.112	1.03E-93	CHD7
4.53E-108	0.735577532	0.559	0.183	9.77E-104	PTN
2.19E-63	0.731668848	0.391	0.146	4.73E-59	CDH10
1.21E-116	0.728347055	0.827	0.324	2.62E-112	FAM155A
5.41E-47	0.727523713	0.251	0.085	1.17E-42	IGSF21
4.20E-76	0.726031212	0.389	0.126	9.06E-72	CDH13
1.64E-100	0.72476664	0.906	0.559	3.54E-96	NTM
2.11E-142	0.724258648	0.896	0.39	4.55E-138	ERBB4
1.43E-44	0.723372966	0.298	0.115	3.08E-40	POU6F2
5.01E-71	0.701937643	0.653	0.298	1.08E-66	MAP2
2.33E-51	0.699018074	0.288	0.099	5.03E-47	RP11.444D3.1
1.60E-59	0.694581656	0.519	0.242	3.46E-55	REV3L
4.04E-79	0.69119564	0.579	0.23	8.71E-75	GRM5
1.76E-54	0.691184982	0.549	0.275	3.80E-50	ASAP1
1.38E-46	0.690560613	0.5	0.251	2.98E-42	TRIO
7.99E-71	0.688268333	0.333	0.103	1.72E-66	FIGN
1.69E-66	0.686656919	0.519	0.222	3.64E-62	CTTNBP2
1.43E-72	0.685618513	0.306	0.087	3.09E-68	CRB1
7.14E-48	0.685070713	0.367	0.152	1.54E-43	ESRRG
3.84E-55	0.684587926	0.375	0.148	8.29E-51	PDE8B
2.57E-97	0.684332841	0.251	0.049	5.55E-93	ADGRG1
9.72E-54	0.676388751	0.461	0.205	2.10E-49	PEAK1
3.87E-71	0.670882116	0.613	0.28	8.35E-67	NFIB
2.11E-84	0.669926488	0.796	0.404	4.55E-80	CTNND2
5.29E-47	0.668754006	0.313	0.117	1.14E-42	PDZRN4
3.63E-80	0.662060505	0.259	0.061	7.84E-76	PALLD
3.94E-85	0.659849403	0.254	0.056	8.50E-81	CTD.2058B24.2
3.84E-39	0.654092434	0.266	0.101	8.30E-35	GPC6
3.09E-34	0.653202784	0.375	0.187	6.67E-30	UNC80
8.62E-68	0.653159551	0.418	0.152	1.86E-63	PTPRJ
9.82E-65	0.65255769	0.542	0.236	2.12E-60	SH3D19
2.57E-34	0.651668992	0.273	0.116	5.55E-30	ASTN1
9.59E-44	0.64808781	0.293	0.11	2.07E-39	RP11.161M6.2
1.04E-50	0.642679254	0.375	0.153	2.25E-46	ATP2B4
6.87E-72	0.64234367	0.596	0.251	1.48E-67	PCDH7
3.66E-50	0.632990923	0.519	0.249	7.90E-46	DSCAML1
1.23E-67	0.627322865	0.727	0.36	2.65E-63	LRRC7
6.09E-83	0.625626149	0.31	0.079	1.31E-78	SOX2
5.36E-66	0.618860711	0.323	0.101	1.16E-61	PDE7B
4.00E-64	0.618667711	0.396	0.139	8.64E-60	PREX2
2.54E-65	0.60685252	0.569	0.245	5.47E-61	HTRA1
2.15E-58	0.603571242	0.485	0.201	4.65E-54	ARPP21
1.12E-89	0.601835671	0.525	0.181	2.41E-85	CST3
1.80E-64	0.595664049	0.551	0.241	3.89E-60	DNER
1.76E-53	0.595096543	0.389	0.152	3.80E-49	DBI
3.97E-52	0.595039029	0.375	0.149	8.56E-48	PTPRE
6.24E-46	0.592555463	0.569	0.299	1.35E-41	FYN
3.19E-53	0.582777171	0.561	0.267	6.89E-49	KCNMA1
8.31E-76	0.576416076	0.911	0.549	1.79E-71	ZBTB20
1.60E-37	0.57444847	0.301	0.125	3.45E-33	UPF3A
6.11E-25	0.5738893	0.276	0.135	1.32E-20	SLC35F3
3.74E-64	0.573394047	0.293	0.085	8.07E-60	COL9A2
1.61E-35	0.571155306	0.322	0.14	3.47E-31	TRAF3IP2.AS1
1.47E-41	0.57065692	0.566	0.316	3.18E-37	TANC2
1.03E-56	0.565824242	0.658	0.322	2.23E-52	CNTN1
8.14E-49	0.561386956	0.522	0.256	1.76E-44	PHACTR3
1.94E-79	0.561291231	0.759	0.345	4.18E-75	GPM6A
1.26E-47	0.5611788	0.534	0.27	2.71E-43	PHYHIPL
7.12E-35	0.55890848	0.288	0.122	1.54E-30	DIAPH2
1.64E-101	0.555160982	0.749	0.301	3.54E-97	CTNNA2
7.42E-61	0.553495601	0.776	0.439	1.60E-56	APOD
6.27E-55	0.553021298	0.389	0.149	1.35E-50	C1orf61
2.92E-30	0.55218308	0.264	0.115	6.30E-26	NOL4
9.16E-76	0.551837928	0.891	0.548	1.98E-71	NPAS3
6.59E-22	0.543277176	0.318	0.172	1.42E-17	TMEM178B
1.26E-35	0.54118271	0.316	0.14	2.72E-31	BAALC
6.19E-26	0.539670976	0.32	0.163	1.34E-21	TMEM132B
3.46E-54	0.537430789	0.424	0.165	7.47E-50	ZCCHC24
2.89E-21	0.535360646	0.315	0.175	6.24E-17	TTTY14
3.72E-33	0.534314769	0.426	0.219	8.04E-29	KHDRBS3
5.90E-49	0.532015096	0.338	0.126	1.27E-44	LDLRAD3
3.83E-42	0.527111856	0.311	0.122	8.27E-38	KCNAB1
1.23E-58	0.52686507	0.412	0.154	2.66E-54	KANK1
2.38E-45	0.526221416	0.327	0.124	5.15E-41	SPATA6
5.98E-30	0.525741103	0.306	0.139	1.29E-25	SORCS1
1.71E-50	0.518083426	0.483	0.217	3.68E-46	LPP
3.20E-35	0.515691614	0.323	0.143	6.92E-31	SPRED1
2.16E-40	0.515655538	0.672	0.403	4.65E-36	ZSWIM6
1.26E-65	0.515388202	0.271	0.074	2.71E-61	WWP2
6.89E-51	0.514708238	0.357	0.132	1.49E-46	PLPP3
7.05E-40	0.513705335	0.572	0.324	1.52E-35	CHD9
6.67E-55	0.510334519	0.729	0.404	1.44E-50	NFIA
7.82E-36	0.508287306	0.33	0.145	1.69E-31	TIAM1
1.70E-41	0.507605798	0.439	0.21	3.66E-37	SETD5
2.48E-32	0.505932512	0.409	0.211	5.35E-28	TTC28
7.24E-44	0.502848258	0.646	0.368	1.56E-39	CADM1
1.39E-41	0.502326493	0.283	0.105	2.99E-37	AC004158.3
