aEndo	capEndo	vEndo	aSMC	vSMC	Per1	Per2	Fib1	Fib2	Fib3
TMEM240	0	0.0091657107783132	0.0123955853261752	0.00221311890198154	0.00541766822940642	0.0165454193246443	0	0.0194891814459377	0	0
SSU72	0.267735300152079	0.397398144953337	0.36742858718167	0.214107733997978	0.536681023180708	0.549559571384291	0.364437771802444	0.257855989757661	0.258403272697623	0.289279104516115
FNDC10	0.00915287930417444	0	0	0.0246947469211894	0.004638796491032	0.00258004157378031	0.0433452324470132	0.00422773189064721	0.0462861083904318	0.0910207443055197
MIB2	0.196128919949921	0.147205755104492	0.0958426617443685	0.194154466276395	0.0966422502510611	0.113193361750577	0.160221922704717	0.157530366683379	0.213924430661794	0.193241430554311
MMP23B	0.00471376805020256	0.0128561077859398	0.0116117651686458	0	0.0178576359952465	0.00620363652374623	0	0.0656498003860032	0	0.0119792756045976
CDK11B	0.257595580907291	0.501489188073624	0.363814538984215	0.524487142879896	0.30170415796848	0.398234571772303	0.351690269645504	0.209689820383762	0.271340258571173	0.19773319927104
SLC35E2B	0.21532230184769	0.199982669523854	0.181763779331798	0.116436285438261	0.171172608293938	0.183053308068155	0.141927897204953	0.249422205184837	0.179371306630425	0.135182767931082
CDK11A	0.259668878637531	0.28034158245486	0.234659488472961	0.175021575090429	0.231405000918123	0.211735217521538	0.141986566789567	0.286475505259606	0.173246388461	0.193137073033826
NADK	0.248149073071297	0.2118192596582	0.336592759604967	0.341488857776103	0.286494373063719	0.264235236922398	0.273358511396544	0.186866064795198	0.289603391097613	0.354137249291666
GNB1	1.60248152747985	1.81159051917922	1.75635534692528	1.38710875357583	1.57856248481145	1.71361597604312	1.49643361870802	1.26972074792121	1.41390787786034	1.33288023409846
CALML6	0	0	0	0	0	0.000526812030852207	0	0	0	0
TMEM52	0	0	0	0	0.00462727505752426	0.00164624662802814	0	0	0	0
CFAP74	0	0.0191138163825742	0.0165309653817285	0.0681882307088273	0.020888987038101	0.0141562851608954	0.0295170195676373	0	0.0290768724477601	0.015399845432627
GABRD	0.0211567388653993	0.0342266216130321	0.0446526035559542	0.12978960018911	0.00190735357664251	0.0142476017241899	0.0978199801482614	0.00705221540532493	0.0319804244500716	0.056060470129959
PRKCZ	0.0439065941182243	0.121126742097103	0.0849535600381509	0.0771167057268571	0.0383182181190192	0.0961799460239656	0.0930329233254771	0.0517586690637631	0.396200191621311	0.297042232533438
FAAP20	0.232745843571513	0.193434532449749	0.152763407127663	0.29738582612679	0.305838085346068	0.326931809732288	0.325732726775283	0.169973029552708	0.15137139227806	0.165518488601301
SKI	1.03105568642204	1.09259472832914	0.944147543918991	0.64724730205995	0.78150573350601	0.886085158373163	0.493107407929597	1.03608083928794	1.05174964436705	1.10396955710913
MORN1	0.0806840341976878	0.0510243335292278	0.0502377994821576	0.116172931285904	0.092825746391448	0.103623606876221	0.231555363722933	0.146869239689876	0.22681706184454	0.127473472699195
RER1	0.382850231831565	0.40102335952356	0.390680608310481	0.394992557320153	0.504558558548214	0.44388643727295	0.425611105375342	0.322146322448908	0.429276780375191	0.35364626210474
PEX10	0.0895905576382441	0.0982610457527372	0.0772598729293581	0.105291480892309	0.0958955586052304	0.124146759620719	0.0665771882439714	0.0722055162026696	0.0349050449619466	0.0463708279517852
PLCH2	0	0.0124520969546645	0.0230126313194406	0	0.00564128828075781	0.0152116188066034	0	0.025689715208798	0	0
PANK4	0.0638288866949823	0.0913008757065912	0.0574388004937848	0.157529830265227	0.0866189496031927	0.0859429904890952	0.135015596580289	0.0445727466432468	0.0566055396420311	0.117552987815221
HES5	0.104414737685132	0.0388245328929218	0.0210545373207344	0.0311748859293436	0.0182328740103024	0.0167744250244782	0.0530857930670284	0.0319021771607367	0.0294293054261888	0.0138374123914019
TNFRSF14	0.466470190894924	0.416411415201827	0.264837443637195	0.231959398615007	0.315523593338923	0.322902315358086	0.183137224486376	0.190395223211072	0.142957945821174	0.164511746742982
FAM213B	0.123779349185058	0.0642680826190365	0.0320889731528387	0.00123446762416801	0.0858128507145708	0.0835816159216678	0.0282912989566577	0.00648234088000162	0.0131338898723484	0.0375460387643122
MMEL1	0	0.0019195632362679	0	0	0.00198857413776338	0.00251028973864472	0	0	0	0
TTC34	0	0.0467887168065666	0	0.0198684137568147	0.0204935069962366	0.0205866200326418	0.112434693274013	0	0	0.0369951356164375
PRDM16	0.960656521811987	0.0610916004768683	0.0405301605797543	1.08724039686143	0.0536241250940109	0.0356224246123611	0.0235180318449921	0.0990153368596931	0.034293189114462	0.116199061490796
ARHGEF16	0.010759432672395	0.0290882264695737	0.00202245805597628	0.0673267725493594	0.0280617485042869	0.0367971130742368	0.0742675261658384	0	0.127866284660795	0.0952309804753075
MEGF6	0.0225392447114103	0.396264669339939	0.226005700638822	0	0.113773031143684	0.344962552076113	0.0344755176619381	0.0932841229705676	0.00972914174084243	0.0540276357914294
TPRG1L	0.107196620936792	0.0575582334889029	0.0598454431122693	0.0667680620973687	0.13095253445812	0.131465710702159	0.168826522078394	0.0103470463767534	0.027342754468001	0.00883534561676246
WRAP73	0.0584363889833054	0.138959224021383	0.0926932756774504	0.0702103312331241	0.0967410362327066	0.0998510877143819	0.144719699628536	0.0284134545850913	0.0834417890087588	0.0861193671166502
TP73	0.00949226093937695	0.0225651166497493	0	0	0.0176658752741229	0.0160775085745567	0	0.0234628303208203	0	0.0197484197086669
CCDC27	0	0.00155179294224813	0	0	0.0030403461702742	0.00200764378228266	0	0	0	0
SMIM1	0.0170173095106205	0	0	0	0.0132078929991958	0.00258507700442736	0.0042217829546069	0	0	0
LRRC47	0.178604142321904	0.138651492172636	0.0905546464705375	0.0609137661359409	0.174298510195306	0.147862188375335	0.238047974686994	0.177039693591207	0.127259846838609	0.171880913927181
CEP104	0.302916277504116	0.258129172013161	0.232736552014069	0.232825156546481	0.309016380112029	0.268019974438824	0.230262528019146	0.232219377278027	0.260381357408055	0.066234650886638
DFFB	0.129100829339431	0.118520801736494	0.0689151493501183	0.119360766582012	0.0708745870526945	0.0837648379619061	0.0774739442404146	0.0656938160373178	0.123631040713442	0.0339080448685685
C1orf174	0.0634904113828253	0.0510624273459979	0.0471140995669255	0.120428056042603	0.118782843863429	0.125980901611962	0.143523715248083	0.0434990233792682	0.00590671962680886	0.0512147702222324
AJAP1	0.0624455653727201	0.197972610740564	0.0475216602107665	0.113944495999224	0.0244756344623464	0.0849163084303292	0.112785799738094	0.184578375710327	0.384063766292964	0.158144602031455
NPHP4	0.187908360673938	0.234754051668123	0.206885205536347	0.171085045458212	0.187347285390696	0.176652374681195	0.267443281504609	0.267833193841615	0.247943995662452	0.173764411902684
KCNAB2	0.135185026190737	0.150181503570419	0.0982521658394268	0.204064428841459	0.118793935308059	0.0913305821263351	0.127754630390331	0.149722621282102	0.0698243775604692	0.0555990525578811
CHD5	0.15585607941381	0.164436132853643	0.164996268223175	0.282307955042568	0.0437560553337136	0.0582358736691934	0.114715984351547	0.108665864635431	0.164850740183397	0.158297436515971
RPL22	0.594597758163148	0.182837390376552	0.240227297325285	0.400129587428253	0.53483051383125	0.381453674251513	0.192223435756455	0.118595588249624	0.153514234169162	0.215794262799152
RNF207	0.0668478308157581	0.0103713129264044	0.0482381291657283	0.181234815317627	0.0349836881130396	0.0257857885300787	0.101572453588375	0.243959641706772	0.412661074701948	0.621110160006555
ICMT	0.0628552687854755	0.0401511696270605	0.0368990407457193	0.142864808576051	0.189831847638114	0.148496454632138	0.100662511691031	0.0333410081204754	0.0757848692429061	0.0400054781546547
GPR153	0.0192529113155499	0.0191879102437369	0.0212062990802007	0.0316369915373262	0.0764223058643656	0.0521080626078469	0.116712100977733	0.128289518869171	0.0385750108706281	0.0675931396705647
ACOT7	0.197562896742338	0.151780955101416	0.27319261672825	0.229933946140419	0.161599308984047	0.151810099724172	0.22450450388377	0.13425718464665	0.182245348926891	0.282691709972326
