gene	cluster
OSMR-AS1	2
AHCYL2	2
FAR2	2
SHANK3	2
PARP12	2
ABCB1	3
SORBS1	3
NOSTRIN	3
RASAL2	3
DNM3	3
ESYT2	3
SPC25	3
RGCC	3
SLC7A5	3
SORBS2	3
TSPAN5	3
PPM1H	3
GPCPD1	3
PDXK	3
RUNDC3B	3
ST6GAL1	3
PPARD	3
SLC7A1	3
NRP2	3
ANKS1A	3
SLC39A10	3
SPOCK3	3
SCARB1	3
FLI1	3
ECHDC2	3
PPFIBP1	3
RCSD1	3
SNED1	3
MFSD2A	3
SLC19A3	3
NKD1	3
SLCO2B1	3
AP3S1	3
ANKRD44	3
BTNL9	3
SLCO1A2	3
MCF2L	3
WDR60	3
DCLK1	3
NPIPB4	3
CXorf36	3
SLC38A5	3
AC233296.1	3
TDRP	3
XAF1	3
LMBR1	3
ST8SIA6	3
BAIAP2	3
GGT5	3
LEF1	3
PRX	3
PLPPR4	3
SMIM3	3
DLC1	3
SPNS2	3
ACSL3	3
SPTBN1	3
ST6GALNAC3	3
SLC9A2	3
CGNL1	3
LSS	3
KLHL5	3
KANK3	3
LRP8	3
CCDC141	3
GRAPL	3
TTN	3
TFRC	3
RASGRP3	3
PITPNC1	3
NLK	3
ARFGEF2	3
ZKSCAN1	3
RIMKLB	3
WIPI1	3
PRTG	3
EPSTI1	3
SRARP	3
TNXB	3
AC005237.1	3
ITGA6	3
A2ML1-AS1	3
CHST11	3
LINC00472	3
QKI	3
HIF1A-AS2	3
ITPKB	3
BSG	3
OGFRL1	3
TRPM3	3
PROM1	3
PRKCB	3
UBN1	3
CASS4	3
TBX3	3
AC002070.1	3
ST8SIA6-AS1	3
CHD7	3
ZMYND8	3
AC093110.1	3
NPIPB5	3
C22orf34	3
NCALD	3
FRMD3	3
NET1	3
ABHD6	3
CDYL2	3
MAP1B	3
SHC2	3
CCDC69	3
ROBO4	3
TBC1D12	3
MTSS1	3
ARFGEF3	3
TPST2	3
BASP1	3
RNF125	3
AP001011.1	3
HES1	3
ZNF385D	3
GRB10	3
ATP10A	3
CA4	3
THSD4	3
TIE1	3
AGAP1	3
INPP5D	3
HMCN1	3
LARGE1	3
MGAT5	3
ISM1	3
ACTN2	3
SLC5A6	3
USP54	3
SLC22A5	3
SMG1	3
TTYH2	3
SHLD1	3
COL26A1	3
TMEM45B	3
EFR3B	3
CLIC5	3
APCDD1	3
DNM2	3
MICALL2	3
PDGFB	3
CKMT2	3
PDXDC1	3
CERK	3
ABCG2	3
SLC7A8	3
TANK	3
AC069277.1	3
C2CD2	3
TMEM123	3
GPR158	3
TMEM51	3
TMEM204	3
PPP3CC	3
SMYD2	3
CHST12	3
EBF1	3
KDR	3
ZNF366	3
EPN2	3
MAP4K2	3
LHFPL2	3
STX3	3
UACA	3
SLC30A1	3
SLFN12L	3
MTA3	3
AC092839.1	3
AFAP1L1	3
PRKCE	3
CASTOR3	3
FBXL13	3
ATP7B	3
CCDC60	3
PRKACB	3
CACNA1E	3
KIAA0513	3
ZNRF3	3
SMTN	3
SAMM50	3
SPAAR	3
SPATA1	3
DENND2C	3
RORA-AS1	3
HSPA12B	3
JDP2	3
HERC6	3
RNF19A	3
LRRC8B	3
ANGPT2	3
FBXO25	3
AC078883.1	3
PTPRN2	3
AC004551.1	3
MRPL1	3
GLCCI1	3
NPAS2	3
CD109	3
STK38	3
KANSL1L	3
SULT1C4	3
EPC1	3
R3HDM1	3
AUH	3
TMCC3	3
NEO1	3
AL050403.2	3
ADK	3
C2orf92	3
MFSD6	3
KIAA1211L	3
GBA2	3
ABCA3	3
AL354733.3	3
MTERF4	3
AL139807.1	3
RGS6	3
PBX1	3
IQCJ-SCHIP1	3
CDK6	3
TTC7B	3
KIAA0232	3
NFATC2IP	3
AC023590.1	3
EFCAB2	3
HDAC9	3
AGO4	3
NRG1	3
MARCH1	3
BCAS3	3
GPD1L	3
DAB2IP	3
JADE3	3
MEF2C	3
DACH1	3
AGAP3	3
TMEM50B	3
KIAA1549	3
ADGRF5	4
BMP6	4
CMTM8	4
SYNE1	4
FLT1	4
FARP1	4
SLC6A6	4
ITGA1	4
MCC	4
RAPGEF1	4
NAV2	4
ADIPOR2	4
TMEM132C	4
CDC14B	4
SLC16A2	4
TMEM140	4
KIRREL3	4
RBFOX1	4
SLC12A2	4
TIMP3	4
CDH2	4
ITIH5	4
AC112907.1	4
DENND2A	4
LINC02043	4
SMARCA2	4
PHLDB2	4
SPOCK2	4
PCDH9	4
DGKI	4
FMNL3	4
NRG3	4
AIF1L	4
LIPE-AS1	4
ADGRB3	4
ABLIM3	4
PLP1	4
STK39	4
LNX1	4
LRP1B	4
HERC2	4
KCNIP4	4
NEK5	4
CADM2	4
CTNNA2	4
TLE4	4
SLC39A8	4
AL391839.1	4
GPR85	4
CNTNAP2	4
PTPRD	4
IL1RAPL1	4
